project_name,description,Governorate,Town,land_type,Area,Neighborhood,neighborhood_no,parcel_no,political_classification,slope,view_quality,area_m2,land_use_types,land_use_residential,land_use_commercial,land_use_agricultural,land_use_industrial,electricity,water,Sewage,parcel_frontage (m),road_status1,width_m,road_status2,width_m,road_status3,width_m,parcel_shape,hospitals_facility,schools_facility,police_facility,municipality_facility,LANDFILL_NEARBY,FACTORIES_NEARBY,NOISY_FACILITIES,ANIMAL_FARMS,ownership_document_type,actual_price_per_m2,,,
2,2,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,68,AREA_A,Flat (0-5%),GOOD,1010,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PUBLIC,25,PUBLIC_EXISTING_UNPAVED,10,PUBLIC_EXISTING_UNPAVED,12,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,90,,,
1,1,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,14,AREA_A,Flat (0-5%),GOOD,1562,COMMERCIAL,FALSE,FALSE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,38,PUBLIC_EXISTING_UNPAVED,16,PUBLIC_EXISTING_UNPAVED,10,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,140,,,
3,3,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,16,AREA_A,Moderate (15-30%),GOOD,608,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,21,PRIVATE_PROPOSED_UNPAVED,6,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,65,,,
4,4,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,28,AREA_A,Mild (5-15%),GOOD,1557,COMMERCIAL,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,36,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,IRREGULAR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,120,,,
5,5,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,100,AREA_A,Flat (0-5%),GOOD,571,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,NO,YES_PRIVATE,19,PUBLIC_EXISTING_UNPAVED,12,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,80,,,
6,6,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,57,AREA_A,Flat (0-5%),FANTACTIC,919,COMMERCIAL,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,19,PUBLIC_EXISTING_PAVED,14,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,115,,,
7,7,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,106,AREA_A,Flat (0-5%),GOOD,550,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,15,PUBLIC_EXISTING_UNPAVED,12,PRIVATE_EXISTING_UNPAVED,4,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,83,,,
8,8,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,5,AREA_A,Flat (0-5%),GOOD,3434,COMMERCIAL,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,48,PUBLIC_EXISTING_PAVED,16,PUBLIC_EXISTING_UNPAVED,12,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,120,,,
9,9,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,73,AREA_A,Flat (0-5%),GOOD,5392,COMMERCIAL,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,160,PUBLIC_EXISTING_PAVED,12,PRIVATE_EXISTING_PAVED,4,FALSE,,IRREGULAR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,110,,,
10,10,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,64,AREA_A,Flat (0-5%),FANTACTIC,1338,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,35,PUBLIC_EXISTING_UNPAVED,10,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,90,,,
11,11,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,62,AREA_A,Flat (0-5%),GOOD,924,INDUSTRIAL,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,30,PUBLIC_EXISTING_PAVED,16,PUBLIC_EXISTING_UNPAVED,6,FALSE,,IRREGULAR,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,170,,,
